Time,Angle
1716894002.3100777,-0.8990084400090171
1716894002.3172674,-1.803181701344473
1716894002.3413744,-2.730929937699687
1716894002.3513706,-3.6763532248280737
1716894002.358456,-4.634018825039812
1716894002.3667817,-5.598995742892278
1716894002.3734965,-6.566870310536075
1716894002.3820057,-7.533745958655808
1716894002.3894677,-8.463590294231643
1716894002.3941486,-9.386832523860114
1716894002.399202,-10.301092919412849
1716894002.4107351,-11.204392744278042
1716894002.4159083,-12.095119605664895
1716894002.420912,-12.97199181570262
1716894002.4280002,-13.79759600986935
1716894002.4393556,-14.57225951257111
1716894002.4420805,-15.333534535423844
1716894002.4528666,-16.043770027980244
1716894002.457208,-16.741631831832674
1716894002.4694927,-17.427056514938265
1716894002.4762967,-18.100084866163662
1716894002.4818625,-18.7608451843498
1716894002.4850855,-19.370627370146615
1716894002.4936333,-19.970338176701745
1716894002.5010035,-20.520996827509244
1716894002.5061674,-21.06390835785875
1716894002.5168054,-21.559830536973625
1716894002.5256958,-22.05034898531778
1716894002.5339203,-22.535656550761832
1716894002.540282,-22.976037025790607
1716894002.548792,-23.41354049789165
1716894002.5522468,-23.848298237100504
1716894002.5596266,-24.280448565262013
1716894002.5690875,-24.71013505882531
1716894002.574913,-25.1375050198772
1716894002.5827417,-25.562708183246436
1716894002.590272,-25.94474002019122
1716894002.5984354,-26.32692589633693
1716894002.6060002,-26.709310251210677
1716894002.612004,-27.09194113199464
1716894002.6192784,-27.433227202113212
1716894002.62805,-27.776919048318224
1716894002.6316867,-28.122960679572703
1716894002.6438687,-28.429409325685118
1716894002.6485791,-28.740189408753327
1716894002.654624,-29.055150197012985
1716894002.6609628,-29.374152221228663
1716894002.6667016,-29.697066695467807
1716894002.6754735,-30.02377497007854
1716894002.6754735,-30.354168016636496
1716894002.691516,-30.688145944354794
1716894002.6936085,-31.025617547252665
1716894002.7000506,-31.36649988123829
1716894002.708429,-31.66703172004951
1716894002.708429,-31.929514238886387
1716894002.7233708,-32.199367193156036
1716894002.7326875,-32.47629945144082
1716894002.739334,-32.71633317265491
1716894002.7453249,-32.92158876567551
1716894002.753587,-33.13732904640829
1716894002.7591317,-33.36309410089268
1716894002.766819,-33.55473403720402
